ok	lemma	pos	rank	current	suggested	note
	griego	adjetivo	3159	Que tiene que ver con el país de los griegos o sus habitantes.	De Grecia o de sus habitantes.	agent ok, still fails: not in the book: grecia.
	andaluz	adjetivo	3344	De la región del sur.	De Andalucía o de sus habitantes.	place name the book lacks: needs your check
	valenciano	adjetivo	3470	De Valencia o de sus habitantes.	De Valencia o de sus habitantes.	agent ok, still fails: not in the book: valencia.
	uruguayo	adjetivo	3522	Que tiene que ver con un país de américa o su gente.	De Uruguay o de sus habitantes.	agent ok, still fails: not in the book: uruguay.
	canadiense	adjetivo	3627	De ese país del norte o relacionado con él.	De Canadá o de sus habitantes.	place name the book lacks: needs your check
	portugués	adjetivo	3647	De ese país o de su idioma.	De Portugal, de sus habitantes o de su lengua.	place name the book lacks: needs your check
	americano	adjetivo	3745	Que se refiere a un continente o a sus habitantes.	De América o de sus habitantes; también, de Estados Unidos.	place name the book lacks: needs your check
	suizo	adjetivo	3811	De suiza o de sus habitantes.	De Suiza o de sus habitantes.	agent ok, still fails: not in the book: suiza.
	madrileño	adjetivo	3982	De la capital de nuestro país.	De Madrid o de sus habitantes.	place name the book lacks: needs your check
	judío	adjetivo	4153	Del pueblo o religión de israelíes.	Del pueblo hebreo o de su religión.	place name the book lacks: needs your check
	azulgrana	adjetivo	4190	Del equipo de fútbol con esos colores.	Del Barcelona, el club de fútbol.	place name the book lacks: needs your check
	peruano	adjetivo	4463	De ese país o sus habitantes.	Del Perú o de sus habitantes.	place name the book lacks: needs your check
	serbio	adjetivo	4488	Relacionado con un país de oriente o con sus habitantes.	De Serbia o de sus habitantes.	agent ok, still fails: not in the book: serbia.
	castellano	adjetivo	4609	Relativo a la lengua principal de un lugar de nuestro país.	La lengua española; también, de Castilla.	agent ok, still fails: not in the book: castilla.
	norteamericano	adjetivo	4696	De Estados Unidos o de sus habitantes.	De Estados Unidos o de sus habitantes.	agent ok, still fails: not in the book: unidos.
	belga	adjetivo	4787	De un país de europa o de sus habitantes.	De Bélgica o de sus habitantes.	agent ok, still fails: not in the book: belgica.
	yen	sustantivo	5286	Moneda que se usa en Japón.	Moneda que se usa en Japón.	agent ok, still fails: not in the book: japon.
